Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST async document upload,10,0,530.0,523.2049436000352,417.35918500012303,564.0728749999653,626.5,8.952472306230055,0.0,540,550,550,560,560,560,560,560,560,560,560
GET,setup: locate knowledge base,10,0,120.0,124.51587739999468,96.93677599989314,139.20603299993672,270.0,8.952472306230055,0.0,130,130,130,140,140,140,140,140,140,140,140
POST,setup: login,10,0,380.0,383.3069200000409,363.14357099990957,407.1552339999016,123.0,8.952472306230055,0.0,380,390,390,400,410,410,410,410,410,410,410
,Aggregated,30,0,380.0,343.6759136666903,96.93677599989314,564.0728749999653,339.8333333333333,26.857416918690166,0.0,380,410,510,530,550,560,560,560,560,560,560
