Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST async document upload,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66,20.989082614878,0.0,230,310,350,380,450,470,490,610,610,610,610
,Aggregated,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66,20.989082614878,0.0,230,310,350,380,450,470,490,610,610,610,610
