Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST async document upload,50,0,550.0,659.1992274399854,145.0838250000288,1934.8851919999106,628.0,23.033570450982634,0.0,570,700,740,1000,1800,1800,1900,1900,1900,1900,1900
,Aggregated,50,0,550.0,659.1992274399854,145.0838250000288,1934.8851919999106,628.0,23.033570450982634,0.0,570,700,740,1000,1800,1800,1900,1900,1900,1900,1900
