query,backend,latency_ms,recall_at_10
1,pgvector_exact,75.686,1.0
1,pgvector_hnsw,129.586,1.0
2,pgvector_exact,42.142,1.0
2,pgvector_hnsw,69.128,1.0
3,pgvector_exact,43.347,1.0
3,pgvector_hnsw,56.545,1.0
4,pgvector_exact,41.703,1.0
4,pgvector_hnsw,52.478,1.0
5,pgvector_exact,40.869,1.0
5,pgvector_hnsw,50.171,0.8
6,pgvector_exact,41.467,1.0
6,pgvector_hnsw,67.37,1.0
7,pgvector_exact,68.404,1.0
7,pgvector_hnsw,76.643,1.0
8,pgvector_exact,54.491,1.0
8,pgvector_hnsw,66.234,1.0
9,pgvector_exact,55.101,1.0
9,pgvector_hnsw,48.261,1.0
10,pgvector_exact,40.796,1.0
10,pgvector_hnsw,47.967,1.0
11,pgvector_exact,42.961,1.0
11,pgvector_hnsw,50.791,0.9
12,pgvector_exact,44.942,1.0
12,pgvector_hnsw,48.416,0.9
13,pgvector_exact,42.816,1.0
13,pgvector_hnsw,48.816,0.9
14,pgvector_exact,43.437,1.0
14,pgvector_hnsw,48.21,0.9
15,pgvector_exact,41.253,1.0
15,pgvector_hnsw,57.222,1.0
16,pgvector_exact,43.965,1.0
16,pgvector_hnsw,49.626,0.8
17,pgvector_exact,42.515,1.0
17,pgvector_hnsw,53.96,1.0
18,pgvector_exact,72.668,1.0
18,pgvector_hnsw,76.725,0.9
19,pgvector_exact,54.067,1.0
19,pgvector_hnsw,63.427,0.9
20,pgvector_exact,56.764,1.0
20,pgvector_hnsw,75.576,0.9
