query,backend,latency_ms,recall_at_10
1,legacy,3523.6329999752343,1.0
1,pgvector_exact,49.768,1.0
1,pgvector_hnsw,28.618,0.9
2,legacy,3309.090599999763,1.0
2,pgvector_exact,32.624,1.0
2,pgvector_hnsw,23.329,0.8
3,legacy,3048.2908999547362,1.0
3,pgvector_exact,32.097,1.0
3,pgvector_hnsw,24.307,0.6
4,legacy,3297.4721000064164,1.0
4,pgvector_exact,32.284,1.0
4,pgvector_hnsw,20.651,0.8
5,legacy,3105.8733999961987,1.0
5,pgvector_exact,36.971,1.0
5,pgvector_hnsw,22.875,0.5
6,legacy,3337.5761000206694,1.0
6,pgvector_exact,33.007,1.0
6,pgvector_hnsw,19.162,0.3
7,legacy,3066.7636999860406,1.0
7,pgvector_exact,33.773,1.0
7,pgvector_hnsw,20.971,0.4
8,legacy,3249.3282000068575,1.0
8,pgvector_exact,31.961,1.0
8,pgvector_hnsw,17.712,0.5
9,legacy,3033.000399940647,1.0
9,pgvector_exact,34.0,1.0
9,pgvector_hnsw,19.661,0.6
10,legacy,3120.0411999598145,1.0
10,pgvector_exact,36.139,1.0
10,pgvector_hnsw,18.367,0.8
11,legacy,3307.1219000266865,1.0
11,pgvector_exact,36.507,1.0
11,pgvector_hnsw,17.374,0.7
12,legacy,3051.2258999515325,1.0
12,pgvector_exact,32.431,1.0
12,pgvector_hnsw,17.119,0.8
13,legacy,3264.0512000070885,1.0
13,pgvector_exact,32.782,1.0
13,pgvector_hnsw,19.992,0.6
14,legacy,3152.1860000211746,1.0
14,pgvector_exact,39.93,1.0
14,pgvector_hnsw,20.029,0.7
15,legacy,3365.4743999941275,1.0
15,pgvector_exact,37.357,1.0
15,pgvector_hnsw,18.914,0.6
16,legacy,3129.5822000829503,1.0
16,pgvector_exact,36.197,1.0
16,pgvector_hnsw,22.098,0.7
17,legacy,3260.7157999882475,1.0
17,pgvector_exact,36.768,1.0
17,pgvector_hnsw,19.809,0.9
18,legacy,3084.342199959792,1.0
18,pgvector_exact,32.841,1.0
18,pgvector_hnsw,16.743,0.8
19,legacy,3294.294700026512,1.0
19,pgvector_exact,34.439,1.0
19,pgvector_hnsw,17.705,0.5
20,legacy,3015.653899987228,1.0
20,pgvector_exact,35.176,1.0
20,pgvector_hnsw,16.726,0.4
