query,backend,latency_ms,recall_at_10
1,legacy,5067.86089995876,1.0
1,pgvector_exact,87.169,1.0
1,pgvector_hnsw,101.802,1.0
2,legacy,5209.576900000684,1.0
2,pgvector_exact,83.03,1.0
2,pgvector_hnsw,88.111,1.0
3,legacy,5602.126500103623,1.0
3,pgvector_exact,59.383,1.0
3,pgvector_hnsw,66.675,0.9
4,legacy,4785.077899927273,1.0
4,pgvector_exact,64.955,1.0
4,pgvector_hnsw,65.903,1.0
5,legacy,5343.676300020888,1.0
5,pgvector_exact,48.39,1.0
5,pgvector_hnsw,44.814,0.7
6,legacy,4874.845599988475,1.0
6,pgvector_exact,53.674,1.0
6,pgvector_hnsw,64.431,1.0
7,legacy,5567.836500005797,1.0
7,pgvector_exact,53.285,1.0
7,pgvector_hnsw,43.568,0.8
8,legacy,4910.773999989033,1.0
8,pgvector_exact,52.009,1.0
8,pgvector_hnsw,53.986,1.0
9,legacy,5494.582299957983,1.0
9,pgvector_exact,48.701,1.0
9,pgvector_hnsw,39.604,1.0
10,legacy,5062.628100044094,1.0
10,pgvector_exact,50.2,1.0
10,pgvector_hnsw,43.843,1.0
11,legacy,5821.616400033236,1.0
11,pgvector_exact,54.83,1.0
11,pgvector_hnsw,44.643,0.9
12,legacy,6747.29000008665,1.0
12,pgvector_exact,51.136,1.0
12,pgvector_hnsw,48.71,0.9
13,legacy,6721.3570000603795,1.0
13,pgvector_exact,76.034,1.0
13,pgvector_hnsw,104.435,0.9
14,legacy,7233.569799922407,1.0
14,pgvector_exact,63.199,1.0
14,pgvector_hnsw,84.266,0.9
15,legacy,6573.024500044994,1.0
15,pgvector_exact,54.093,1.0
15,pgvector_hnsw,39.571,1.0
16,legacy,7437.819399987347,1.0
16,pgvector_exact,46.777,1.0
16,pgvector_hnsw,42.786,0.8
17,legacy,6709.060600027442,1.0
17,pgvector_exact,44.689,1.0
17,pgvector_hnsw,41.161,1.0
18,legacy,6126.250399975106,1.0
18,pgvector_exact,45.923,1.0
18,pgvector_hnsw,39.821,0.9
19,legacy,6560.729300021194,1.0
19,pgvector_exact,46.658,1.0
19,pgvector_hnsw,45.047,0.9
20,legacy,6149.0657000103965,1.0
20,pgvector_exact,66.734,1.0
20,pgvector_hnsw,51.701,0.9
