query,backend,latency_ms,recall_at_10
1,legacy,2785.4228999931365,1.0
1,pgvector_exact,44.91,1.0
1,pgvector_hnsw,47.968,1.0
2,legacy,2612.74280003272,1.0
2,pgvector_exact,36.776,1.0
2,pgvector_hnsw,48.973,1.0
3,legacy,2382.298600045033,1.0
3,pgvector_exact,34.78,1.0
3,pgvector_hnsw,29.714,1.0
4,legacy,2609.444599947892,1.0
4,pgvector_exact,37.534,1.0
4,pgvector_hnsw,26.072,1.0
5,legacy,2608.075199997984,1.0
5,pgvector_exact,56.25,1.0
5,pgvector_hnsw,36.948,1.0
6,legacy,2653.7469999166206,1.0
6,pgvector_exact,34.894,1.0
6,pgvector_hnsw,27.378,0.9
7,legacy,2416.9430000474676,1.0
7,pgvector_exact,34.268,1.0
7,pgvector_hnsw,26.417,1.0
8,legacy,2723.4516999451444,1.0
8,pgvector_exact,38.699,1.0
8,pgvector_hnsw,25.237,0.9
9,legacy,2598.397900001146,1.0
9,pgvector_exact,37.688,1.0
9,pgvector_hnsw,27.438,1.0
10,legacy,2375.740199931897,1.0
10,pgvector_exact,32.978,1.0
10,pgvector_hnsw,24.323,1.0
11,legacy,2541.4224000414833,1.0
11,pgvector_exact,34.519,1.0
11,pgvector_hnsw,24.999,1.0
12,legacy,2404.7225000103936,1.0
12,pgvector_exact,46.771,1.0
12,pgvector_hnsw,26.009,1.0
13,legacy,2810.762199922465,1.0
13,pgvector_exact,56.556,1.0
13,pgvector_hnsw,34.192,0.9
14,legacy,2457.9168000491336,1.0
14,pgvector_exact,36.292,1.0
14,pgvector_hnsw,26.719,1.0
15,legacy,2563.909300020896,1.0
15,pgvector_exact,37.635,1.0
15,pgvector_hnsw,25.897,1.0
16,legacy,2393.328499980271,1.0
16,pgvector_exact,50.151,1.0
16,pgvector_hnsw,25.44,0.9
17,legacy,2766.723499982618,1.0
17,pgvector_exact,42.353,1.0
17,pgvector_hnsw,32.705,1.0
18,legacy,2341.145599959418,1.0
18,pgvector_exact,38.502,1.0
18,pgvector_hnsw,26.797,0.8
19,legacy,2581.457099993713,1.0
19,pgvector_exact,36.353,1.0
19,pgvector_hnsw,26.17,0.9
20,legacy,2479.2270000325516,1.0
20,pgvector_exact,63.855,1.0
20,pgvector_hnsw,41.051,0.9
